Team,TeamAbbreviation,0
#1 Victory Royale,1VR,10
-sheesh-,-she,15
100 Blifted,100B,60
100 Thieves,100T,685
123TAP,123T,70
1337,1337,55
1337va,1337,10
153,153,25
1620 Kings,K16,15
19esports,19,110
1HP,1HP,20
1Tap Tavern,1TT,5
1stCav eSport Club,1stC,15
200 Policemen,200P,15
24Haven,24/H,70
2G4L,2G4L,45
2red,2red,10
303 Esports,303,135
368,368,25
3BL Esports,3BL,5
47 Gaming,47,30
4Fun,4Fun,10
4fan,4fan,10
5Dogs,5Dog,10
5MOKES,5M,55
5NOOBS,5N,20
5Ravens,5RS,15
5gg,5gg,15
5up,5up,10
5ynerG,5yne,20
6045Pirates,PIR,45
666,666,10
95x eSports,95x,15
99Percent.,99PT,25
99cents,99C,15
9z Team,9z,300
A$AP,A$AP,20
ABB ASKI E-Spor WHITE,ABB,40
AERIS,AERI,25
AFTERMIND,AM,10
AG,AG,60
AGAiN,AGAi,10
AGG,AGG,60
AKIHABARA ENCOUNT,AE,10
ALCYONE,ALCY,9
ALCYONE,PlayerALCY,1
ALFA Esport,ALFA,15
ANARCHY,AR,15
ANBU Elite Gaming,ANBU,20
ANEW Esports,ANEW,25
ANKA E-Sports,ANKA,25
ARBIES,ARBI,10
AREA,AREA,35
ARES Gaming,ARES,5
ASI,ASI,5
ATK Mode,ATK,15
ATRAVS,ATR,10
ATROPELADOS,ATRO,50
AUTOCRACY,AUTO,10
AVALON Gaming,AG,35
AVEZ Esport,AVEZ,50
AXIBYTE ESPORTS,AXI,55
Able Esports,AE,75
AboveCloud,ABC,15
Absolute JUPITER,JUP,285
Absolute Legends,aL,15
Acend,ACE,285
Ackerman Team,ACK,10
Action PH,APH,20
Activat3D Esports,A3D,35
Actually Homeless,Actu,110
Adept esport,AE,5
Admirals,Admi,10
Aerstream Esports,Aers,5
Affinity Esports,AFN,5
Against All Odds,AAO,10
Aggie Gaming at UC,Aggi,20
Ahjin,Ahji,20
Aim from Kitchen,Aim,13
Aim from Kitchen,brimstoneAim,2
Aim.Attack,AMT,150
Aion Esports,Aion,60
Air Raiders,AR,15
Akademus Esport,AKA,5
Akatsuki,Akat,20
Akave Esports,AKV,90
Akella,Akel,20
Akrew,Akre,170
Akuma Esports,Akum,10
All Around Savants,AAS,65
All Born to Clutch,ABC,50
All Day Long,ADL,15
All Gamers,AG,95
All Gamers,All,5
All Victory Esports,AV,15
Alliance,[A],445
Allware,ALLW,10
AlmondLatte,AL,5
Alpha Esports Pro,AE,65
Alpha Six Gaming,ASG,50
Alter Ego,AE,330
Alter Ego Celestè,AECL,75
Alterfox Esports,Alte,25
Amarok Esports ,Amar,10
Amateur Team,AT,15
Ambitious,A,10
Anatolia Esports,AES,200
Andbox,ABX,650
Angry Titans,AT,70
Anonymo Esports,Anon,25
Anti Eco Eco Club,AEEC,110
Anubis Gaming,ANB,200
Anuncie Aqui,ANA,25
AoeXe,AoeX,45
Apex,Apex,10
Aqua,Aqua,20
Aquatik,Aqua,10
Aracne Esports,Æ,10
Arbalest,ABL,75
Arcana,Arca,5
ArchiGoKill,Arch,15
Archons,ARCH,30
Arctic Gaming,AG,40
Arctic Gaming Mexico,AGM,75
Aricat Esport,ARC,160
Aricat.Aresta,ARIC,30
Ark5,Ark5,20
ArkAngel,AA,140
Armory Gaming,AG,10
Aspire,Aspi,20
Asteria Gaming,AG,10
Athletico Zombies,ATHZ,25
Atletica Pro Gaming 9,A9,35
AtmosFear,AF,10
Attack All Around,AAA,350
Attacking Soul Esports,ASE,110
Australs,AUS,340
Avant,AV,105
Awake Esports,AE,15
Axolotl,Axol,10
Axsor,AX,165
B Beasts,BB,5
B4 Angels,B4A,105
B4 eSports,B4,165
B7 Warriors,B7,195
BADARANTS,BADA,10
BALANCED?,BALA,5
BANDYCI,BAND,10
BAR100LONA,BAR1,15
BBL Esports,BBL,335
BBL Queens,BBL,55
BDV,BDV,30
BE INFAMOUS,BI,50
BEAST,BST,20
BIG,BIG,10
BIG BOY'S CLUB,BIG,50
BIG SCYTHE,BIGG,10
BLAHAJ,BLAH,35
BLOKES,BLOK,5
BLUEJAYS Frates,BLUE,10
BOOM Esports,BME,610
BRACIA,BRAC,10
BRAVOS GAMING,BRAV,10
BTR ,BTR,10
BULLS Esports,BULL,10
BWG,BWG,25
Bad Boy Crew,Bad,40
Badmental Badgame,BB,15
Bait Academy,BA,145
Balanced Esports,Bala,25
Ballista,BST,50
Bandits,BNDT,30
Banditz,Band,15
Bantz,Bant,15
Barrados Do Divine,Barr,15
Bay Area Vandals,BAV,10
BearClaw Gaming,BCG,60
Bedel Ödeyenler,Bedel,10
BeeNinjas,BeeN,35
Begrip Gaming,Begrip,10
Bencheados Academy,Benc,15
Benchwarmers,BENCH,15
Benchwarmers,Benc,35
Besiktas Esports,BJK,165
Beta Irons,BFe,10
Betrayed's Fantasy Team,Betr,20
Bewds Retirement Home,BRH,35
Big Backwoods,Big,10
Big Baller Brand,Big,65
Big Bang,Big,15
Big Frames,BF,135
BigBrainDOGS,BigB,5
Bigetron Astro,BTR,40
Bizarre Gaming,BZR,10
Black Bears,Blac,15
Black Dragons,BD,90
BlackBird Ignis,BBI,215
Bleed eSports,BLEED,135
Bleiz,Blei,10
Bloom,BLOOM,15
Bnat Char9i,Bnat,10
Boberts-Bugs-B-Gone,Bobe,20
Boca Boston,BB,15
Bonde da Loli Careca,Bond,10
Bonk Babes,Bonk,10
Bonsoir,Bons,35
Booster Seat Gaming,Boos,80
Border Monsters,BOM,170
Born to win,BTW,15
Boss Gold,BOG,5
Bottom Fraggers,BF,25
Bounty Esports,Boun,25
Brain And Friends,Brai,20
Brave,BRV,20
Breakout,Brea,25
Bren Esports,BRN,460
Brimstone Gaming,Brim,230
Brolympics eSports,Brol,10
Broskis,Bros,10
Brotherhood of the Five,B5,5
Builders,BLD,15
Built By Gamers,BBG,720
Built By Gamers Academy,BBG.A,155
Bulldozer Gaming,BDG,20
Bully Hunters,Bull,15
Bunker Esports,Bunk,5
Bunkergg,Bunk,5
Burton n Friends,Burt,25
Buscando Org,Busc,35
Békéscsabai E-sport Egyesület,BEE,45
CANAVARLAR,CNVR,15
CBT Gaming,CBT,250
CE Calling,CEC,55
CERBERUS Esports,CES,100
CGN Esports,CGN,95
CISFAITH,CISF,50
CITRON CHIEN,CC,30
CLB,CLB,20
CLG Red,CLG,150
CLMRT,CLMR,10
CNCI BLUE BEES,BB,80
CNG Esports,CNG,15
COFFEE,COFF,25
COMETA TEAM,COM,5
COUSINS,COUS,5
CR4ZY,CR4Z,15
CYCLOPS athlete gaming,CAG,90
Cairo City G'zzz,CCG,55
Cakebois,Cake,15
Carnos Arks,Carn,20
Carpe Noctem,CN,90
Casaless,Casa,10
Case Esports,Case,25
Castaways,Cast,10
Cataclysm Team,CT,10
Catalyst Esports,CTL,5
Catolica Esports,Cato,10
Caught in 4k,Caug,10
Cave Canem,CAVE,10
Celeste,CLST,5
Chakalaka,AKA,100
Chariot,Char,10
Charlotte Phoenix,CLT,75
ChatBanned,Chat,150
ChillinWithFriends,Chil,10
Chimaera,Chim,10
China Nguyen,CN,95
Chivas Esports,CHI,20
Circe,Circ,10
Clan123,C123,20
Cloud9,C9,860
Cloud9 Academy,C9A,155
Cloud9 White ,C9W,375
Clutch Jeans,CJ,10
CoT,CoT,60
Code7,C7,15
Collateral eSports,CES,10
Complexity,COL,815
Complexity GX3,GX3,60
Connect Gaming,COG,55
Constant rise,Cons,25
Control,CTRL,40
Cool Guys,cG,10
CoreNine Esports,CNE,5
Cosmic Divide,CD,240
Cosmic Divide,Cosm,10
Crab Walk Killers,CWK,20
Cracked,Crac,15
Cracked and Dialed,CAD,20
Crazy Raccoon,CR,310
Cream Real Betis,BTS,225
Crest Gaming,CG,15
Crew Esports,Crew,10
Crimas Disciples,Crim,35
CrowСrowd,СС,135
Cruzados Esports,Cruz,30
Cruzeiro Esports,CRZ,30
Crypto Esports,CE,125
Cube Esports,Cube,5
Cursed Team,Curs,5
Cyber Skull Esports,CSE,80
Cynical,CNL,15
D2E Gold,D2E,20
DAMWON Gaming,DWG,100
DAT,DAT,15
DELIRAWOW,DLWZK,105
DETONA Gaming,DG,65
DFR,DFR,40
DFT Revitalize,DFT,5
DIVIZE,IVI,135
DKS Esports,DKS,45
DNADIFF,DNAD,10
DOMINUS,DOM,15
DOODAY,DOOD,10
DPE,DPE,35
DR Esports,DR,65
DREAMCHASERS,DC,25
DREAMLAND,DL,80
DRX Vision Strikers,DRX,450
Dallas Vendetta,DV,45
Damaru Gaming,DG,20
Dambis,DMB,30
Damianos Esport,Dami,5
Damn I Love Fwogs,DILF,10
Dark Passage,DP,55
Dark Tempest,Dark,5
Dark Tigers,DTG,45
DarkZero Esports ,DZ,330
Darkness,Dark,10
Dawn of Stars,DOS,15
Daycare,Dayc,10
Daytrade Gaming,Dayt,20
DeToNator,DTN,35
Dead Rabbits,Dead,5
Dead Silence,Dead,5
Deadlife,Dead,10
Decent Esports,Dece,40
Decisive,DCSV,40
DeftFox,DFX,65
Deja Vu,Deja,30
Dem Boys Cold,DBC,25
Demise,Demi,20
Demon,Demo,15
Demon Time,DT,110
Depth,Dept,10
Destined,Dest,85
DetonatioN Gaming White,DGW,110
DevilDucks,Devi,10
Dewa VVV,Dewa,15
DfuseTeam,DFUSE,130
Digital Athletics,DA,155
Digital Ninjas,DNJ,5
Dignitas,DIG,285
Dignitas ,DIG,90
DimmaDome$,DD$,55
DingFeng Gaming,Ding,10
Dire Wolves,DW,265
Disciples ,Disc,30
Divine,DV,10
Divine Vendetta,DV,10
Divinity,Divi,60
DivisionX Gaming,DXG,240
Don't Even Ask,DEA,10
Dontcare,Dont,5
Down Two Earth,D2E,25
DownBad,Down,10
DrAgOnZz,DrAg,5
Dream Team,Drea,10
DreamFyre,DF,30
DreamSeller,DS,35
Dreamwalker,DRM,40
Dreamwalker,Drea,20
Drop Shot,Drop,10
Duck Gaming,Duck,35
Dylema Gaming,Dyle,15
E-Natolian Sports Club F,E-Na,10
E-Xolos LAZER,EXL,250
E2S Lexious,E2S,35
E9Sports,E9,45
ECM FCG eSports,FCG,10
EDward Gaming,EDG,100
EFuture,EF,5
EGN Esports,EGN,40
EGO,EGO,55
EGO Media,EGOM,40
ELNiS Esports,EL,10
EMPEROR,EMPE,10
EXCEL,XL,105
EXEN Esports,EXEN,30
EXO Clan,EXO,155
EZBake Clan,EZBa,5
EZPZ,EZPZ,35
East Hill,East,15
Eazy One Gaming,EZ1,55
Echo 8,Echo,50
Eclectiq,Ecle,25
Edelweiss Esports,EDW,80
Einheit,Einh,50
Elemental Esports,ELEM,5
Elevate,ELV,85
Elevation,ELE,10
Elite,Elit,20
Elmerz Glue,Elme,60
Eloquence,ELQ,70
Elysium,Elys,210
Elysium NOIR,Elys,10
Emerald Gaming,EMD,15
EndGame,END,35
Endavant,Enda,10
Enigma Gaming,Enigma,355
Enterprise Esports,EP,50
Entropiq,EIQ,235
Entropiq Bravo,ENTB,40
Entropy Gaming,Entropy,10
Envy,NV,780
Epherium,Ephe,10
Equality,Equa,10
Equinox Day,Equi,5
Equinox Esports,NOX,310
Eros,Eros,5
Eshays,Esha,60
Estral Esports,Estral,70
Eternal,Eter,5
Eternal Fire,EF,20
Eternal Zen Gaming,EZG,10
Ethereal,Ethe,10
Euphoria,EPA,10
Europe Savios,Euro,10
Event Horizon,EvH,10
Evil Geniuses,EG,535
Ex-Dallas Vendetta,Ex-D,15
ExPandable,ExP,8
ExPandable,phoonExP,2
Exality,Exy,20
Exalted Esports,EXS,20
Exceeli Esports,XLE,100
Excelsa,Exce,20
Exceptis,Exce,15
ExiLe Gaming,ExiL,5
Exodus,Exod,10
Exodus,Exodus,35
Exorcist.ESC,Exor,45
Exotic,Exot,50
Exsto Gaming,ExG,10
Extenzy Gaming,EXZ,60
F1LS Esports,F1LS,75
F4K Ladies,F4K,20
F4Q,F4Q,175
F5,F5,30
FA,FA,10
FABRIKEN,FABR,115
FAKEZIN,FAKE,65
FALTAM 2 MIN,FALT,10
FARESHI,FRSH,5
FAV gaming,FAV,310
FDP Login,FDP,10
FEARUS,FEAR,55
FENNEL,FL,100
FFQ,FFQ,20
FFT,FFT,10
FIRST Gaming,FG,120
FIU,FIU,5
FIU Valorant,FIU,10
FLICKBAITERS,FB,90
FLu Esports,FLu,10
FOGUETE,FOGU,35
FOXNGAME Esports,FOX,10
FPL-C,FPL-,90
FREEAGENTS,FREE,40
FREELO,FREE,10
FS Esports ,FS,35
FS Gaming,FSG,5
FTG Esports,FTG,10
FTW Esports,FTW,95
FTW Fade,FTW,40
FULL SENSE,FS,300
FULLCS,FULL,15
FUNSNATCHERS,FS,35
FURIA,FUR,195
FURY,FURY,40
FUSCA AZUL,FUSC,15
FW Esports,FW,75
FaZe Clan,FaZe,555
Fadee Gaming,FG,10
Fakezin de cria,Fake,10
Falkol eSports,FKL,100
Fallen5,F5,20
Fancy United Esports,FU,110
Far East Society,FES,10
Fast Rush,FR,10
Fatality,FTL,10
FeaFeaFea,Fea,20
Fear Legends,FL,25
FearSlay,Fear,10
Fearless,Fear,30
Feel So Good,Feel,45
Feeling,FEL,45
Feint Gaming,Fein,5
Fekyx Esports,Feky,5
Fenerbahçe Esports,FB,120
Fenrir,FNR,175
FiftyOne,Fift,25
Fighting 4 Freedom,F4F,10
Fire Angels,Fire,25
Fire Flux Esports,FF,245
Fire Flux Esports Female,FF,55
Fire Flux Young,Fire,50
FishkaVTom,FVT,135
Five Ace e-Sports,FA,95
FlamexSerenity,Flam,15
Flat White,Flat,5
Flow State,FS,20
Fluid Gaming,Flui,10
FlyMatez,FlyM,10
FlyToMoon,FTM,25
Fnatic,FNC,480
Folouers Esports,FE,10
Fordon Boars,FB,40
Fortnite Fraggers,FF,40
Fox Gaming,FOX,70
Fox Wizards,FWI,5
Foxy,Foxy,100
Foxy Araikordai,FXG,155
Frag Ya Bag,Frag,10
FragHunters,Frag,15
Frail Males,Frai,10
Frat3rnity,Frat,10
Free Sign,Free,10
FrenzyGoKill,FGK,25
Frick Ya Bag,FYB,60
Friendlings,FL,10
Friendlyfire,Frie,5
Froggers,Frog,5
Frontline Esports,Fron,10
Frostwolf,FW,15
FroztFire,FzF,5
FuelCore,FC,30
Full Flashed,FF,10
FunPlus Phoenix,FPX,340
Funcrew,FC,75
Funee Monkee,Fune,20
Funkboings,FNK,70
Funky Monkeys,fM,30
Furacão BLACK,FRB,25
Furious Gaming,FG,265
Furore Draco,FD,10
Fusion Fraggers,FF,105
Futbolist,FTBL,485
Futbolist Female,Futb,65
G.Gang,G.G,15
G2 Esports,G2,650
G2 Gozen,G2,85
G2G Esport,G2G,30
GAMAX eSports,GMX,5
GBP Esports,GBP,5
GCU Esports,GCU,10
GGamDira,GGam,10
GGmate,GGma,5
GMT Esports,GMT,265
GODSENT,GODS,5
GOMA,GMG,80
GOODFOR1 ,GOOD,10
GRANIT GAMING,GRG,5
GRAZHtAS,GRAZ,15
GVNG,GVN,15
GX3,GX3,55
Galakticos,GAL,120
Galakticos Sirens,Gala,10
Galaxy Carrots,Gala,55
Galaxy Racer,GXR,35
Galaxy Racer Female,GXR,45
Gambit Esports,GMB,420
GameAgents,GA,5
Gamelanders Blue,GLB,400
Gamelanders Purple,GLP,150
GamerDuderGuys,Game,10
Gamers of Future,GOF,5
Gaming Barracks,Gami,10
Gaming Team SELECTOR,GTS,55
Geekay Esports,GK,15
Gehenna Sweepers,GHS,25
Geko Geko,Geko,5
Gen.G,GEN,755
Gen.G Black,GGB,100
Genesis,GEN,60
Genuine Gaming,GG,35
Ghost CommandoS,GCS,5
Ghost Gaming,Ghost,435
GhostFamily E-Sports,Ghos,5
Giants G4E,Gian,35
Giants Gaming,GIA,395
GiefKalash,Gief,25
Gifted,Gift,20
Global Esports,GE,540
Go next,GN,10
GoNGo Prince,GNG,180
Goblin Squadron,GS,5
GochuGaru,CHU,40
God Given,God,15
God Particles,GP,15
GodVibes,GV,5
Godlike Esports,GodL,160
Gonzo Gaming,Gonz,5
Good Fellas,GF,60
Good Game,Good,20
GoodVibes,GV,5
Goodfellas Gaming,GFS,20
Goofy Goobers,GG,80
GrandSpirit,Gran,10
Granjeros,Gran,45
Grapefruit Techniques,GT,55
Gravitas,GRV,45
Graviton Surge,GS,10
Green beans,Gree,70
Griffin E-Sports,GFN,105
Griffos Starfire,Grif,20
Grilled Cheese,Gril,20
Grimz Esports,Grim,10
Grind City,GC,10
Ground Zero,GZ,60
Grow uP eSports,uP,25
Guardian Esports Team,GD,5
Guess,Guess,25
Guild Esports,GUILD,350
Guild X,GUILD,125
GunTeR,GTR,5
GunsForHire,Guns,45
Gunslingers,Guns,10
Gydom Galva,GG,20
HARD Esports,HARD,10
HATALANTE,HATA,5
HEAD HUNTERS,HEAD,15
HEET,HEET,210
HEET RED,HEET,35
HERO Esports,HERO,35
HG,HG,5
HIGHPOWER,hPw,95
HOIIIIYAH,HOII,15
HOMELESS,HOME,15
HONK,HONK,70
HSDIRR,HSDI,200
HaZe Clan,HaZe,25
Hajty,Hajty,15
HalfBliss,Half,15
Hamboigas,HAMB,10
Hamtori ZunDeZinx,HAM,40
Hamtories,Hamt,10
Hashira,Hash,55
Hazmat.gg,HzT,5
Headshot Percentage,HSP,60
Helios Gaming,Heli,5
Hexad,HX,55
HitReg,HitR,5
Hollywood Hooliganz,HH,40
Homeless,H/L,40
Homies Nexus,HNX,10
Hope,HOPE,5
HorizonGG,HGG,30
Hot Thots,Hot,10
HotThots,HT,10
Huat Zai,HZ,40
Hugh Jass Construction,Hugh,5
Hydrated,HYDRA,10
HypHypHyp,HyP,25
Hysteria,Hyst,35
I need Girlfriend,InG,45
IC9,IC9,10
IGNIS Esports,IGNIS,10
ILG JADE,ILG,10
INS4NE,INS4,5
INTZ Angels,ITZA,30
ISOL-BULIL,IB,35
ITALIANO,ITAL,10
IVY,IVY,180
Icarus,Icar,10
Ice Donuts,Ice,10
Icicle Conflict,ICC,10
Iconic,Icon,20
Icons,Icon,15
Ignite,IGN,15
Illinois Servers Please,ISP,45
IlluZion,IluZ,65
Illuminar Gaming,IHG,135
Illuzion Black,Illu,15
Illuzion Orange,Illu,15
Immortals,IMT,910
Imperial Esports,IMP,115
Imposto é Roubo,IRGG,5
Improve Female,Impr,25
InControlNation,InCo,5
InetGamer,Inet,35
Infantry,Infa,5
Inferno,INF,5
Infinity Esports,INF,270
Ingaming,Inga,140
Injected Sheesh,Inje,5
InnerVoice,IV,40
Inside Games,iG,115
Insight,Insi,100
Insomnia,INSM,20
Intel New Indians,NEW,10
Intense Gaming,INT,55
Interstate 95,Inte,15
Intrepid Fox,IF,5
Invicta,INV,15
Invicta Gaming,IG,70
Invictus Gaming,iG,10
Invictus Gaming Academy,IG,15
Invincible Gaming,iNv,40
Istanbul Wildcats Female,Ista,15
Italian Hope,IH,10
JG.JIANG,JG.J,10
JMNY6,JMNY,20
Jaguares Esports,JAG,15
Jaguares Esports,JGG,70
Jaguares Fem,Jagu,25
Janus Esports,JNS,20
Jays Finest,Jays,20
Je t'aime de ouf,Jt,30
Jeremiah,JH,15
Jesfrelho,Jesf,25
Jujutsu,Juju,10
Just Breathe,JB,25
JustLose,JL,35
JustSoldiers,Just,10
Juul Team 6,Juul,10
K/D Fixers,K/D,10
KABAHbl,KABA,5
KASTIRALIS,KAST,30
KDA,KDA,10
KG Network,KG,30
KHABHAT GAMING,KG,10
KINGSLAYERS,KS,15
KLATWA,KLAT,45
KONE,KONE,125
KOUD’KOUTO,KOUD,20
KOVA,KOVA,50
KPC Computer Studio,KPC,175
KPI Gaming,KPI,35
KRÜ Esports,KRÜ,330
Kafalar eSports,KFLR,125
KaiXin Esports,KX,35
Kaizen Esports,KZN,110
Kakaopulver,Kaka,5
Kalash,ak47,10
Kamil Klein new chapter,KAML,15
Kanga Esports,KNG,240
Kantic Gaming,Kantic,45
Kaos Latin Gamers,Kaos,115
KappaPride,KP,5
Karma,KGG,15
Kaster Onez,Kast,10
Kawaii,Kawa,15
Keyd Stars,VK,280
Keyd Stars Athenas,VK,70
Kikados da Galaxy Carrots,Kika,25
King of Gamers,KoG,45
King's Gambit,KNG,5
Kingsmen,KGM,335
Klaus,KU,30
Knights,PK,600
Knights Academy,PK.A,170
KnockOut Esports,KO,5
Kolossus Academy,Kolo,10
Kooky Koalas ,KK,235
Kowareta,Kowa,100
Kraken,Krak,10
Kraken ESC White,KESC,45
Ksenox,Ksen,25
Kudos,KUDO,40
Kum Gaming,Kum,15
Kungarna,KNG,30
Květinky,KVT,15
L'institut,INST,100
L8R Bot,L8R,35
LAG Gaming,LAG,190
LAGOS,LAGO,5
LBS Esports,LBS,15
LDM Esports,LDM,120
LDN UTD,LDN,155
LEGENDs,LDS,40
LFS,LFS,10
LFTval,LFTv,15
LGI,LGI,5
LINGUISALESS,LING,10
LITHUANIAN UNITED,LITH,5
LIZHI,LIZHI,140
LJG,LJG,30
LOL,LOL,20
LOS VAGOS,LV,10
LP33,LP,65
LT,LT,30
LULw,LULw,20
LUNARISs,LUNA,10
LUNÈ Girls Gaming,LUNÈ,15
LYNX TH,LYX,25
La7zag Esports,7sg,10
Langit9,L9,30
Lankräm,Lank,85
Lapki,Lapk,10
Lariox Esports,Lari,5
Las Vegas Inferno,LVI,5
Las Venturas,Las,35
Lasagna Beam,LB,10
Last Dance,LD,40
Last Round Save,LRS,85
Last Round Save,Last,10
Lazarus,LZR,15
Leftovers,Left,45
Legacy Esports,LGC,140
Legion,LE,20
Legion de Reconocimiento,Legi,10
Lemonade Stand,LMND,50
Lenny Time,LT,145
Lenovo Legion Honvéd,LLH,45
Les Braqueurs,LB,15
Les Farmers,Les,15
Les Zinzins De Lespace,ZDL,30
Lethal Grinders,L3G,30
Level 5,Lvl5,5
Leviatán,LEV,40
Levitate,Levi,30
Lexious Gaming,LG,10
Liberty ,LBRTY,230
Liberty Female,LF,85
Lightailty,Ligh,15
Lightning,LT,120
Lithium,Lith,15
LividOnes,Livi,15
Lobster Car,LC,10
Logan Paulers,Loga,10
Looking For Org,LFO,25
Looking For Sponsor,Look,50
Looking for team,LFT,10
Louvre,LVR,290
LucidX,LX,5
Luminosity,LG,620
Lunaris,Luna,55
Lunatic-Hai,LH,35
Lunch Club,Lunc,10
LvL Up Esport,LvL,5
Lycus Empire,Lycu,35
Lycus Empire Red,Lycu,15
M1X,M1X,10
M1XXX,M1XX,5
M4LIK,M4LI,15
M4LIK,M4LIK,65
MAD Army,MA,10
MAFIOZI,MAFI,15
MAJKL,MJKL,20
MAJSTERSZTYK,MSK,25
MALIBULULE,MALI,5
MAX Esports,MAX,65
MAXD Esports,MAXD,15
MELiNA,MELi,10
MEOGANG,MEOG,5
MIRONGA VIRUS,MIRO,15
MIXUP,MIXU,60
MJAOMODE,MM,50
MLC Esports,MLC,15
MNA ESPORTS,MNA,10
MORE Esports,MORE,10
MRKN,MRKN,5
MROrgless,MROr,10
MSR Esport,MSR,10
MTP Esport,MTP,75
MUTANTS,MUT,15
MUTED,MUTE,25
MUYAHO,MYH,35
Macacos Bovinos,MB,10
MackoEsports,Mack,10
Made in Thailand,MiTH,10
Magic Five,M5,25
Magma,Magm,10
Malvinas Gaming,Malv,25
Mama's Boys,Mama,10
Mamba Mode Gaming,MMG,295
Man I Love Fwogs,MILF,45
Mandala,Mand,20
Mangal,Mang,30
Marten Gaming,MG,15
Marten Gaming,Mart,20
Mattistack,Matt,20
Max Control,Max,5
McBTSMac,BTS,55
McTeam,Mc,120
MeT,MeT,10
Megastitut,Mega,190
Memelanders,Meme,30
Mencari Tempat Berlabuh,Menc,10
MeowMeow,Meow,10
MercenarieZ,Merc,5
Merge,Merg,5
Merlyn Esports Shine,MLS,10
Merry Men,Merr,15
Meta Gaming,Meta,140
Meta Gaming ,Meta,60
Method2Madness,M2M,10
MiTH.Attitude,MiTH,160
MiTH.Streamer,MiTH,25
Mik0nsDisciple,Mik0,5
Minaweebs Money Crew,Mina,20
Mindfreak,MF,425
MishMash Gaming,Mish,5
Mist Walkers,Mist,10
Mix,Mix,55
Mixery,Mixe,10
Mod-Z,Mod-,65
Momentum Based,MB,15
MoneyTime,Mone,10
Monkey Business,MB,20
Monkey Momentum,Monk,10
Monkey Stars,Monk,10
Moon Raccoons,MR,150
Moon Raccoons Black,MRB,30
Moose Knucklers,Moos,10
Morning Light,ML,45
Morph Impact,MORPH,140
Moscow Five jr,M5,60
Most Prolific,MP,45
Motion Team,Moti,55
Movistar Optix,MOX,145
Movistar Riders,MRS,280
Mugiwara,Mugi,20
Mujig 100su,100su,35
Mustache Men,Must,10
Mustang Gaming,Mustang,20
Mystery Inc.,Inc.,10
Mystify,MYS,50
N0thing To L0se,NTL,10
N4PAS,N4PA,25
NASR Esports,NASR,140
NBD Esports,NBD,10
NBKS CENTURIONS,NBKS,10
NBP,NBP,10
NEBULAA,NEBU,25
NG.Black,NG.B,210
NMDM,NMDM,15
NMG Indigo,NMG,20
NOM eSports,NOM,10
NONAMERS,NONA,10
NOORG2.0,NO2,70
NOORG2.0,NOOR,30
NORTHEPTION,Nth,130
NOSLEEP,NOSL,10
